ITEM NUMBER	OLD REV	NEW REV	ECO NUMBER																									
100017039	00F	00G	W258																									
100017039	00G	00H	W270																									
100017040		00A	W188																									
100017040	00A	00C	W244																									
100017040	00C	00D	W246																									
100017040	00D	00E	W247																									
100017040	00E	00F	W249																									
100017040	00F	00G	W258																									
100017040	00G	00H	W270																									
100017041		00A	W188																									
100017041	00A	00C	W244																									
100017041	00C	00D	W246																									
100017041	00D	00E	W247																									
100017041	00E	00F	W249																									
100017041	00F	00G	W258																									
100017041	00G	00H	W270																									
100017042		00A	W188																									
100017042	00A	00B	W253																									
100017042	00B	00C	W258																									
100017044		00A	W188																									
100017044	00A	00B	W253																									
100017044	00B	00C	W258																									
100017045		00A	W188																									
100017045	00A	00B	W253																									
100017045	00B	00C	W258																									
100017046		00A	W188																									
100017046	00A	00B	W253																									
100017046	00B	00C	W258																									
100017047		00A	W188																									
100017047	00A	00B	W253																									
100017047	00B	00C	W258																									
100017048		00A	W188																									
100017048	00A	00B	W258																									
100017049		00A	W188																									
100017049	00A	00B	W253																									
100017049	00B	00C	W258																									
100017043		00A	W188																									
